Date_ID,Full_Date,Day,Month,Quarter,Year,Weekday_Name,Is_Weekend
196,2020-07-15,15,7,3,2020,Wednesday,False
197,2020-07-16,16,7,3,2020,Thursday,False
198,2020-07-17,17,7,3,2020,Friday,False
199,2020-07-18,18,7,3,2020,Saturday,True
200,2020-07-19,19,7,3,2020,Sunday,True
201,2020-07-20,20,7,3,2020,Monday,False
202,2020-07-21,21,7,3,2020,Tuesday,False
203,2020-07-22,22,7,3,2020,Wednesday,False
204,2020-07-23,23,7,3,2020,Thursday,False
205,2020-07-24,24,7,3,2020,Friday,False
206,2020-07-25,25,7,3,2020,Saturday,True
207,2020-07-26,26,7,3,2020,Sunday,True
208,2020-07-27,27,7,3,2020,Monday,False
209,2020-07-28,28,7,3,2020,Tuesday,False
210,2020-07-29,29,7,3,2020,Wednesday,False
211,2020-07-30,30,7,3,2020,Thursday,False
212,2020-07-31,31,7,3,2020,Friday,False
213,2020-08-01,1,8,3,2020,Saturday,True
214,2020-08-02,2,8,3,2020,Sunday,True
215,2020-08-03,3,8,3,2020,Monday,False
216,2020-08-04,4,8,3,2020,Tuesday,False
217,2020-08-05,5,8,3,2020,Wednesday,False
218,2020-08-06,6,8,3,2020,Thursday,False
219,2020-08-07,7,8,3,2020,Friday,False
220,2020-08-08,8,8,3,2020,Saturday,True
221,2020-08-09,9,8,3,2020,Sunday,True
222,2020-08-10,10,8,3,2020,Monday,False
223,2020-08-11,11,8,3,2020,Tuesday,False
224,2020-08-12,12,8,3,2020,Wednesday,False
225,2020-08-13,13,8,3,2020,Thursday,False
226,2020-08-14,14,8,3,2020,Friday,False
227,2020-08-15,15,8,3,2020,Saturday,True
228,2020-08-16,16,8,3,2020,Sunday,True
229,2020-08-17,17,8,3,2020,Monday,False
230,2020-08-18,18,8,3,2020,Tuesday,False
231,2020-08-19,19,8,3,2020,Wednesday,False
232,2020-08-20,20,8,3,2020,Thursday,False
233,2020-08-21,21,8,3,2020,Friday,False
234,2020-08-22,22,8,3,2020,Saturday,True
235,2020-08-23,23,8,3,2020,Sunday,True
236,2020-08-24,24,8,3,2020,Monday,False
237,2020-08-25,25,8,3,2020,Tuesday,False
238,2020-08-26,26,8,3,2020,Wednesday,False
239,2020-08-27,27,8,3,2020,Thursday,False
240,2020-08-28,28,8,3,2020,Friday,False
241,2020-08-29,29,8,3,2020,Saturday,True
242,2020-08-30,30,8,3,2020,Sunday,True
243,2020-08-31,31,8,3,2020,Monday,False
244,2020-09-01,1,9,3,2020,Tuesday,False
245,2020-09-02,2,9,3,2020,Wednesday,False
246,2020-09-03,3,9,3,2020,Thursday,False
247,2020-09-04,4,9,3,2020,Friday,False
248,2020-09-05,5,9,3,2020,Saturday,True
249,2020-09-06,6,9,3,2020,Sunday,True
250,2020-09-07,7,9,3,2020,Monday,False
251,2020-09-08,8,9,3,2020,Tuesday,False
252,2020-09-09,9,9,3,2020,Wednesday,False
253,2020-09-10,10,9,3,2020,Thursday,False
254,2020-09-11,11,9,3,2020,Friday,False
255,2020-09-12,12,9,3,2020,Saturday,True
256,2020-09-13,13,9,3,2020,Sunday,True
257,2020-09-14,14,9,3,2020,Monday,False
258,2020-09-15,15,9,3,2020,Tuesday,False
259,2020-09-16,16,9,3,2020,Wednesday,False
260,2020-09-17,17,9,3,2020,Thursday,False
261,2020-09-18,18,9,3,2020,Friday,False
262,2020-09-19,19,9,3,2020,Saturday,True
263,2020-09-20,20,9,3,2020,Sunday,True
264,2020-09-21,21,9,3,2020,Monday,False
265,2020-09-22,22,9,3,2020,Tuesday,False
